USER       PID %CPU %MEM   VSZ   RSS TT  STAT  STARTED       TIME COMMAND
root     20998 13.8  1.8   632  2328 ??  R     12:21PM    0:00.30 snmpget
root     17859 10.9  1.8   768  2360 ??  R     12:21PM    0:00.34 snmpget
root     29645 11.8  1.8   636  2304 ??  R     12:21PM    0:00.27 snmpget
root     16236 11.8  1.8   548  2296 ??  R     12:21PM    0:00.26 snmpget
root       163  5.1  1.7   680  2184 ??  R     12:21PM    0:00.13 snmpget
root     11253  2.0  0.0   188    48 ??  R     12:21PM    0:00.03 setuidgid
root         1  0.0  0.3   668   396 ??  Is     8:58AM    0:01.07 init
root     32365  0.0  0.6   524   740 ??  Is     8:58AM    0:00.06 syslogd
_syslogd 20416  0.0  0.6   524   776 ??  S      8:58AM    0:09.92 syslogd
root     13873  0.0  0.3   628   456 ??  Is     8:58AM    0:00.04 pflogd
_pflogd   5192  0.0  0.3   692   392 ??  S      8:58AM    0:04.22 pflogd
root     18225  0.0  0.8   712  1000 ??  I<s    8:58AM    0:00.05 ntpd
_ntp     22539  0.0  0.8   764  1080 ??  I<     8:58AM    0:00.63 ntpd
_ntp     24415  0.0  0.7   700   956 ??  I      8:58AM    0:00.03 ntpd
root      7523  0.0  1.1   968  1484 ??  Is     8:58AM    0:00.16 sshd
root     14923  0.0  0.9   856  1240 ??  Is     8:58AM    0:00.03 snmpd
_snmpd    9731  0.0  1.3   896  1704 ??  S      8:58AM    0:08.71 snmpd
root      7271  0.0  1.6  1696  2072 ??  Ss     8:59AM    0:02.31 sendmail
_sndio   29704  0.0  0.4   360   460 ??  I<s    8:59AM    0:00.01 sndiod
root     21251  0.0  0.7   688   964 ??  Ss     8:59AM    0:07.97 cron
root     32462  0.0  2.0  3600  2604 ??  Ss     9:01AM    0:02.26 sshd
root     28517  0.0  0.3   648   444 ??  Is     9:01AM    0:00.12 ksh
root      9395  0.0  1.0   736  1256 ??  I      9:01AM    0:00.52 sftp-server
root     18758  0.0  1.9  3544  2540 ??  Ss     9:01AM    0:01.54 sshd
root     25409  0.0  2.1  3564  2700 ??  Is     9:03AM    0:06.82 sshd
